text,label
Unauthorized transaction detected http://secure-login.com,phishing
Thanks for your help,safe
Urgent: your bank account is locked http://secure-login.com,phishing
Please review the document,safe
Click here to reset your password http://secure-login.com,phishing
Thanks for your help,safe
Reminder: team meeting 10 AM,safe
Let's catch up Friday,safe
Meeting scheduled at Friday,safe
Your account will be suspended http://update-info.org,phishing
Click here to reset your password http://bank-alert.co,phishing
Project deadline is next week,safe
Can we reschedule?,safe
Can we reschedule?,safe
Act now to avoid account closure http://bank-alert.co,phishing
Meeting scheduled at Friday,safe
Meeting scheduled at 10 AM,safe
Verify your account immediately at http://secure-login.com,phishing
Invoice attached,safe
Meeting scheduled at next week,safe
Meeting scheduled at Friday,safe
Lunch at 10 AM?,safe
Update your billing info http://update-info.org,phishing
Security alert: login attempt detected http://bank-alert.co,phishing
Invoice attached,safe
Project deadline is tomorrow,safe
Please review the document,safe
Please review the document,safe
Thanks for your help,safe
Let's catch up 2 PM,safe
Reminder: team meeting Friday,safe
Your account will be suspended http://update-info.org,phishing
Invoice attached,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Happy birthday!,safe
Security alert: login attempt detected http://bank-alert.co,phishing
Security alert: login attempt detected http://bank-alert.co,phishing
Confirm your identity now http://secure-login.com,phishing
You won a prize! Claim here http://secure-login.com,phishing
Thanks for your help,safe
Meeting scheduled at 2 PM,safe
Security alert: login attempt detected http://bank-alert.co,phishing
Your account will be suspended http://secure-login.com,phishing
Meeting scheduled at 10 AM,safe
Thanks for your help,safe
Lunch at tomorrow?,safe
Act now to avoid account closure http://verify-account.net,phishing
Invoice attached,safe
Please review the document,safe
Click here to reset your password http://secure-login.com,phishing
Reminder: team meeting 10 AM,safe
Can we reschedule?,safe
Invoice attached,safe
Unauthorized transaction detected http://verify-account.net,phishing
You won a prize! Claim here http://bank-alert.co,phishing
Thanks for your help,safe
Unauthorized transaction detected http://verify-account.net,phishing
Invoice attached,safe
Please review the document,safe
Unauthorized transaction detected http://secure-login.com,phishing
Lunch at tomorrow?,safe
You won a prize! Claim here http://verify-account.net,phishing
Let's catch up 10 AM,safe
Thanks for your help,safe
Happy birthday!,safe
Happy birthday!,safe
Happy birthday!,safe
Security alert: login attempt detected http://bank-alert.co,phishing
Security alert: login attempt detected http://login-security.com,phishing
Verify your account immediately at http://update-info.org,phishing
You won a prize! Claim here http://update-info.org,phishing
Happy birthday!,safe
Lunch at tomorrow?,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Please review the document,safe
Your account will be suspended http://update-info.org,phishing
Confirm your identity now http://verify-account.net,phishing
Update your billing info http://update-info.org,phishing
Project deadline is 2 PM,safe
Reminder: team meeting tomorrow,safe
Meeting scheduled at Friday,safe
Project deadline is tomorrow,safe
Invoice attached,safe
Urgent: your bank account is locked http://secure-login.com,phishing
Can we reschedule?,safe
Your account will be suspended http://verify-account.net,phishing
Click here to reset your password http://bank-alert.co,phishing
Can we reschedule?,safe
Verify your account immediately at http://update-info.org,phishing
Invoice attached,safe
Click here to reset your password http://verify-account.net,phishing
Thanks for your help,safe
Security alert: login attempt detected http://update-info.org,phishing
Security alert: login attempt detected http://verify-account.net,phishing
Thanks for your help,safe
Your account will be suspended http://login-security.com,phishing
Your account will be suspended http://verify-account.net,phishing
Thanks for your help,safe
Meeting scheduled at Friday,safe
Meeting scheduled at Friday,safe
Urgent: your bank account is locked http://secure-login.com,phishing
Reminder: team meeting next week,safe
Act now to avoid account closure http://update-info.org,phishing
Urgent: your bank account is locked http://verify-account.net,phishing
You won a prize! Claim here http://login-security.com,phishing
Update your billing info http://login-security.com,phishing
Confirm your identity now http://verify-account.net,phishing
Verify your account immediately at http://verify-account.net,phishing
Project deadline is 10 AM,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Urgent: your bank account is locked http://bank-alert.co,phishing
Meeting scheduled at tomorrow,safe
You won a prize! Claim here http://update-info.org,phishing
Let's catch up Friday,safe
Unauthorized transaction detected http://verify-account.net,phishing
Unauthorized transaction detected http://update-info.org,phishing
Unauthorized transaction detected http://update-info.org,phishing
Lunch at 2 PM?,safe
Confirm your identity now http://update-info.org,phishing
Update your billing info http://update-info.org,phishing
Security alert: login attempt detected http://bank-alert.co,phishing
Happy birthday!,safe
Unauthorized transaction detected http://update-info.org,phishing
You won a prize! Claim here http://login-security.com,phishing
Lunch at 2 PM?,safe
Invoice attached,safe
Security alert: login attempt detected http://update-info.org,phishing
Invoice attached,safe
Urgent: your bank account is locked http://login-security.com,phishing
Confirm your identity now http://verify-account.net,phishing
Verify your account immediately at http://login-security.com,phishing
Unauthorized transaction detected http://update-info.org,phishing
Please review the document,safe
Security alert: login attempt detected http://secure-login.com,phishing
Happy birthday!,safe
Security alert: login attempt detected http://login-security.com,phishing
Reminder: team meeting tomorrow,safe
Meeting scheduled at 2 PM,safe
Lunch at Friday?,safe
Thanks for your help,safe
Verify your account immediately at http://verify-account.net,phishing
Confirm your identity now http://update-info.org,phishing
Click here to reset your password http://bank-alert.co,phishing
Lunch at tomorrow?,safe
Thanks for your help,safe
You won a prize! Claim here http://bank-alert.co,phishing
Reminder: team meeting Friday,safe
Invoice attached,safe
Invoice attached,safe
Thanks for your help,safe
Can we reschedule?,safe
Urgent: your bank account is locked http://verify-account.net,phishing
Please review the document,safe
Invoice attached,safe
Security alert: login attempt detected http://login-security.com,phishing
Meeting scheduled at 10 AM,safe
Invoice attached,safe
Meeting scheduled at tomorrow,safe
Security alert: login attempt detected http://bank-alert.co,phishing
Reminder: team meeting 2 PM,safe
Your account will be suspended http://secure-login.com,phishing
Invoice attached,safe
Thanks for your help,safe
Can we reschedule?,safe
Can we reschedule?,safe
Update your billing info http://update-info.org,phishing
Act now to avoid account closure http://bank-alert.co,phishing
Please review the document,safe
Security alert: login attempt detected http://login-security.com,phishing
Meeting scheduled at tomorrow,safe
Thanks for your help,safe
Urgent: your bank account is locked http://verify-account.net,phishing
Unauthorized transaction detected http://login-security.com,phishing
Please review the document,safe
Project deadline is tomorrow,safe
You won a prize! Claim here http://update-info.org,phishing
Unauthorized transaction detected http://verify-account.net,phishing
Verify your account immediately at http://secure-login.com,phishing
Can we reschedule?,safe
Please review the document,safe
Urgent: your bank account is locked http://update-info.org,phishing
Project deadline is Friday,safe
Confirm your identity now http://verify-account.net,phishing
Lunch at 10 AM?,safe
Meeting scheduled at tomorrow,safe
Reminder: team meeting 2 PM,safe
Verify your account immediately at http://update-info.org,phishing
Reminder: team meeting Friday,safe
Project deadline is next week,safe
Reminder: team meeting next week,safe
Urgent: your bank account is locked http://bank-alert.co,phishing
Invoice attached,safe
Meeting scheduled at tomorrow,safe
Confirm your identity now http://secure-login.com,phishing
Urgent: your bank account is locked http://update-info.org,phishing
Project deadline is next week,safe
Update your billing info http://update-info.org,phishing
Please review the document,safe
Thanks for your help,safe
Invoice attached,safe
Can we reschedule?,safe
Invoice attached,safe
Thanks for your help,safe
Meeting scheduled at 10 AM,safe
Update your billing info http://login-security.com,phishing
Security alert: login attempt detected http://update-info.org,phishing
Thanks for your help,safe
Thanks for your help,safe
Urgent: your bank account is locked http://bank-alert.co,phishing
Urgent: your bank account is locked http://login-security.com,phishing
You won a prize! Claim here http://verify-account.net,phishing
Thanks for your help,safe
Verify your account immediately at http://verify-account.net,phishing
Unauthorized transaction detected http://bank-alert.co,phishing
Update your billing info http://update-info.org,phishing
Invoice attached,safe
Confirm your identity now http://login-security.com,phishing
Confirm your identity now http://verify-account.net,phishing
Lunch at 10 AM?,safe
Invoice attached,safe
Click here to reset your password http://bank-alert.co,phishing
Project deadline is next week,safe
You won a prize! Claim here http://update-info.org,phishing
Happy birthday!,safe
Project deadline is 2 PM,safe
Your account will be suspended http://bank-alert.co,phishing
Can we reschedule?,safe
Your account will be suspended http://bank-alert.co,phishing
Your account will be suspended http://secure-login.com,phishing
Please review the document,safe
Confirm your identity now http://verify-account.net,phishing
Update your billing info http://bank-alert.co,phishing
Verify your account immediately at http://verify-account.net,phishing
Lunch at 10 AM?,safe
Invoice attached,safe
Thanks for your help,safe
Reminder: team meeting 10 AM,safe
Please review the document,safe
Meeting scheduled at Friday,safe
Verify your account immediately at http://update-info.org,phishing
Please review the document,safe
Update your billing info http://bank-alert.co,phishing
Your account will be suspended http://secure-login.com,phishing
Reminder: team meeting Friday,safe
Thanks for your help,safe
Lunch at tomorrow?,safe
Unauthorized transaction detected http://login-security.com,phishing
Urgent: your bank account is locked http://secure-login.com,phishing
Urgent: your bank account is locked http://update-info.org,phishing
Confirm your identity now http://update-info.org,phishing
Verify your account immediately at http://verify-account.net,phishing
Thanks for your help,safe
Click here to reset your password http://login-security.com,phishing
Click here to reset your password http://update-info.org,phishing
Urgent: your bank account is locked http://login-security.com,phishing
Project deadline is next week,safe
Update your billing info http://bank-alert.co,phishing
Meeting scheduled at tomorrow,safe
Please review the document,safe
Invoice attached,safe
Urgent: your bank account is locked http://bank-alert.co,phishing
Reminder: team meeting 10 AM,safe
Thanks for your help,safe
Happy birthday!,safe
Confirm your identity now http://login-security.com,phishing
Act now to avoid account closure http://secure-login.com,phishing
Click here to reset your password http://verify-account.net,phishing
Meeting scheduled at 10 AM,safe
Happy birthday!,safe
Unauthorized transaction detected http://update-info.org,phishing
Let's catch up 10 AM,safe
Let's catch up Friday,safe
Can we reschedule?,safe
Click here to reset your password http://login-security.com,phishing
Meeting scheduled at Friday,safe
Act now to avoid account closure http://verify-account.net,phishing
Lunch at next week?,safe
Verify your account immediately at http://login-security.com,phishing
Project deadline is next week,safe
You won a prize! Claim here http://update-info.org,phishing
Your account will be suspended http://bank-alert.co,phishing
Verify your account immediately at http://update-info.org,phishing
Thanks for your help,safe
Click here to reset your password http://verify-account.net,phishing
Thanks for your help,safe
Click here to reset your password http://secure-login.com,phishing
Security alert: login attempt detected http://update-info.org,phishing
Lunch at Friday?,safe
Click here to reset your password http://verify-account.net,phishing
Please review the document,safe
Meeting scheduled at Friday,safe
Confirm your identity now http://bank-alert.co,phishing
Reminder: team meeting 10 AM,safe
Confirm your identity now http://bank-alert.co,phishing
Please review the document,safe
You won a prize! Claim here http://secure-login.com,phishing
Invoice attached,safe
Security alert: login attempt detected http://secure-login.com,phishing
Lunch at tomorrow?,safe
Invoice attached,safe
Please review the document,safe
Reminder: team meeting next week,safe
Act now to avoid account closure http://login-security.com,phishing
Meeting scheduled at next week,safe
Can we reschedule?,safe
Lunch at Friday?,safe
Can we reschedule?,safe
Meeting scheduled at next week,safe
Lunch at 2 PM?,safe
Verify your account immediately at http://update-info.org,phishing
Your account will be suspended http://update-info.org,phishing
Let's catch up next week,safe
Project deadline is 2 PM,safe
Project deadline is next week,safe
Reminder: team meeting next week,safe
Act now to avoid account closure http://login-security.com,phishing
Update your billing info http://verify-account.net,phishing
Project deadline is Friday,safe
Thanks for your help,safe
Update your billing info http://login-security.com,phishing
Unauthorized transaction detected http://verify-account.net,phishing
Reminder: team meeting next week,safe
Your account will be suspended http://secure-login.com,phishing
Confirm your identity now http://bank-alert.co,phishing
Update your billing info http://login-security.com,phishing
Thanks for your help,safe
Confirm your identity now http://verify-account.net,phishing
Thanks for your help,safe
Lunch at next week?,safe
Unauthorized transaction detected http://verify-account.net,phishing
Act now to avoid account closure http://update-info.org,phishing
Please review the document,safe
Act now to avoid account closure http://login-security.com,phishing
Verify your account immediately at http://verify-account.net,phishing
Your account will be suspended http://update-info.org,phishing
Invoice attached,safe
Urgent: your bank account is locked http://update-info.org,phishing
Meeting scheduled at 10 AM,safe
Confirm your identity now http://update-info.org,phishing
Please review the document,safe
Let's catch up next week,safe
Please review the document,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Can we reschedule?,safe
Click here to reset your password http://secure-login.com,phishing
Update your billing info http://secure-login.com,phishing
Update your billing info http://bank-alert.co,phishing
Please review the document,safe
Your account will be suspended http://update-info.org,phishing
Verify your account immediately at http://verify-account.net,phishing
You won a prize! Claim here http://update-info.org,phishing
Please review the document,safe
Project deadline is Friday,safe
Your account will be suspended http://bank-alert.co,phishing
Click here to reset your password http://login-security.com,phishing
Invoice attached,safe
Reminder: team meeting next week,safe
Security alert: login attempt detected http://verify-account.net,phishing
You won a prize! Claim here http://bank-alert.co,phishing
Happy birthday!,safe
Thanks for your help,safe
Update your billing info http://login-security.com,phishing
Urgent: your bank account is locked http://login-security.com,phishing
Update your billing info http://verify-account.net,phishing
Thanks for your help,safe
Let's catch up next week,safe
Thanks for your help,safe
Invoice attached,safe
Unauthorized transaction detected http://secure-login.com,phishing
Unauthorized transaction detected http://verify-account.net,phishing
Thanks for your help,safe
Verify your account immediately at http://secure-login.com,phishing
Meeting scheduled at Friday,safe
Reminder: team meeting Friday,safe
Urgent: your bank account is locked http://verify-account.net,phishing
Act now to avoid account closure http://verify-account.net,phishing
Confirm your identity now http://bank-alert.co,phishing
Lunch at 2 PM?,safe
Please review the document,safe
Verify your account immediately at http://bank-alert.co,phishing
Invoice attached,safe
Unauthorized transaction detected http://secure-login.com,phishing
Thanks for your help,safe
Invoice attached,safe
Thanks for your help,safe
Lunch at 10 AM?,safe
Act now to avoid account closure http://secure-login.com,phishing
Security alert: login attempt detected http://login-security.com,phishing
Security alert: login attempt detected http://update-info.org,phishing
Can we reschedule?,safe
Update your billing info http://login-security.com,phishing
Click here to reset your password http://login-security.com,phishing
Happy birthday!,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Reminder: team meeting next week,safe
Security alert: login attempt detected http://bank-alert.co,phishing
Security alert: login attempt detected http://secure-login.com,phishing
Project deadline is next week,safe
Click here to reset your password http://verify-account.net,phishing
Confirm your identity now http://bank-alert.co,phishing
Lunch at Friday?,safe
Click here to reset your password http://update-info.org,phishing
Verify your account immediately at http://bank-alert.co,phishing
Thanks for your help,safe
Lunch at tomorrow?,safe
Urgent: your bank account is locked http://verify-account.net,phishing
Urgent: your bank account is locked http://login-security.com,phishing
Let's catch up 2 PM,safe
Act now to avoid account closure http://login-security.com,phishing
Click here to reset your password http://bank-alert.co,phishing
Thanks for your help,safe
Your account will be suspended http://login-security.com,phishing
Project deadline is 2 PM,safe
Update your billing info http://update-info.org,phishing
Your account will be suspended http://login-security.com,phishing
Thanks for your help,safe
Happy birthday!,safe
Project deadline is next week,safe
Happy birthday!,safe
Click here to reset your password http://bank-alert.co,phishing
Thanks for your help,safe
Reminder: team meeting 2 PM,safe
Happy birthday!,safe
You won a prize! Claim here http://verify-account.net,phishing
Verify your account immediately at http://update-info.org,phishing
Urgent: your bank account is locked http://bank-alert.co,phishing
Please review the document,safe
Project deadline is 10 AM,safe
Can we reschedule?,safe
Happy birthday!,safe
Let's catch up Friday,safe
Invoice attached,safe
Happy birthday!,safe
Lunch at 2 PM?,safe
Happy birthday!,safe
Verify your account immediately at http://bank-alert.co,phishing
Invoice attached,safe
Thanks for your help,safe
Let's catch up tomorrow,safe
Happy birthday!,safe
Your account will be suspended http://update-info.org,phishing
Update your billing info http://bank-alert.co,phishing
Unauthorized transaction detected http://bank-alert.co,phishing
Click here to reset your password http://update-info.org,phishing
You won a prize! Claim here http://login-security.com,phishing
Update your billing info http://secure-login.com,phishing
Let's catch up Friday,safe
Act now to avoid account closure http://update-info.org,phishing
Happy birthday!,safe
You won a prize! Claim here http://verify-account.net,phishing
You won a prize! Claim here http://login-security.com,phishing
Click here to reset your password http://bank-alert.co,phishing
Lunch at Friday?,safe
Click here to reset your password http://verify-account.net,phishing
Verify your account immediately at http://secure-login.com,phishing
Invoice attached,safe
Your account will be suspended http://login-security.com,phishing
Security alert: login attempt detected http://verify-account.net,phishing
Verify your account immediately at http://secure-login.com,phishing
Thanks for your help,safe
Unauthorized transaction detected http://verify-account.net,phishing
Please review the document,safe
Let's catch up next week,safe
Happy birthday!,safe
Lunch at tomorrow?,safe
You won a prize! Claim here http://bank-alert.co,phishing
Your account will be suspended http://login-security.com,phishing
Your account will be suspended http://login-security.com,phishing
Reminder: team meeting tomorrow,safe
Confirm your identity now http://bank-alert.co,phishing
Verify your account immediately at http://bank-alert.co,phishing
You won a prize! Claim here http://login-security.com,phishing
Confirm your identity now http://verify-account.net,phishing
Happy birthday!,safe
Act now to avoid account closure http://bank-alert.co,phishing
Security alert: login attempt detected http://secure-login.com,phishing
Security alert: login attempt detected http://bank-alert.co,phishing
Click here to reset your password http://login-security.com,phishing
Your account will be suspended http://verify-account.net,phishing
Unauthorized transaction detected http://update-info.org,phishing
Confirm your identity now http://bank-alert.co,phishing
Can we reschedule?,safe
Can we reschedule?,safe
Can we reschedule?,safe
Urgent: your bank account is locked http://update-info.org,phishing
Invoice attached,safe
Can we reschedule?,safe
Lunch at next week?,safe
Can we reschedule?,safe
Reminder: team meeting Friday,safe
Happy birthday!,safe
Security alert: login attempt detected http://verify-account.net,phishing
Urgent: your bank account is locked http://verify-account.net,phishing
You won a prize! Claim here http://verify-account.net,phishing
Your account will be suspended http://bank-alert.co,phishing
Invoice attached,safe
Meeting scheduled at tomorrow,safe
Unauthorized transaction detected http://secure-login.com,phishing
Update your billing info http://login-security.com,phishing
Update your billing info http://login-security.com,phishing
Your account will be suspended http://bank-alert.co,phishing
You won a prize! Claim here http://verify-account.net,phishing
Lunch at tomorrow?,safe
Let's catch up 2 PM,safe
Meeting scheduled at Friday,safe
Can we reschedule?,safe
Unauthorized transaction detected http://bank-alert.co,phishing
Reminder: team meeting next week,safe
Thanks for your help,safe
